%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1774036437057471448,0,1774036437018669844,center_camera,base_link_12,-0.84575,0.6775000000000001,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-09
1774036437157442896,1,1774036437096993208,center_camera,base_link_12,-0.8477500059658872,0.6731249866173132,7.360556920397012e-18,0.0,0.0,0.6773179519409206,0.7356904185719404,0.0039169182159625995,8.146292587392915e-20,2.1009558610589014e-26,1.613109486686609e-27,1.613109486686609e-27,-2.6357960275908437e-21,8.146291618101786e-20,0.0039169182159625995,1.628205985484216e-27,5.040967145895626e-28,5.040967145895626e-28,-8.465715065327519e-22,1.6546190889275064e-26,1.632936730113628e-27,0.004700153769579881,-1.4163135637698517e-34,-1.4163135637698517e-34,-1.2170710669703395e-28,1.6131094866866093e-27,5.040967145895627e-28,1.2892584707095195e-34,0.0023504528418454816,-2.142182269203788e-48,-9.35710845447862e-42,1.6131094866866093e-27,5.040967145895627e-28,1.2892584707095195e-34,-2.142182269203788e-48,0.0023504528418454816,-9.35710845447862e-42,-2.6357960275908433e-21,-8.465715017995961e-22,-1.2170710669705047e-28,-9.357108455273909e-42,-9.357108455273909e-42,0.004700151858535991,-3.4371471227047826e-07,1.571267375436015e-07,6.6399433540280864e-18,2.1271209044183766e-25,2.1271209044183766e-25,-6.467480135202641e-06,0.001958085112578319,5.597927389691496e-33,-2.006177761909787e-31,3.877226144720036e-34,3.877226144720036e-34,4.808192090935787e-39,5.6180577112123025e-33,0.001958085112578319,1.043363132529718e-30,-1.2407741417170985e-33,-1.2407741417170985e-33,-4.048914784869449e-41,-2.006233752090189e-31,9.197358492370994e-31,0.0031336853347845297,-2.8817921046143844e-37,-2.8817921046143844e-37,-3.4521483267062436e-39,3.877226144720036e-34,-1.240774141717098e-33,-4.262091705627746e-37,0.0007839824941114451,-1.0951124876901695e-51,-1.2125031623183954e-57,3.877226144720036e-34,-1.240774141717098e-33,-4.262091705627746e-37,-1.0951124876901695e-51,0.0007839824941114451,-1.2125031623183954e-57,-4.900047533375028e-39,-4.0489147849696775e-41,-3.4521483267063826e-39,1.2269658170807563e-57,1.2269658170807563e-57,0.0015664682851547161
1774036437857478647,2,1774036437802955866,center_camera,base_link_12,-0.7792638596204998,0.634507814938879,8.690446853936409e-19,0.0,0.0,0.5104971176524556,0.8598794641509557,0.035300132289475566,5.463684308991e-23,-1.752449663373393e-28,-6.177833287368602e-29,6.254747485290679e-29,1.2277270043526162e-16,5.1895043516451635e-23,0.03530013228947557,-2.1872204999250667e-28,2.994980355855048e-28,-1.232960409012994e-28,-6.883728267258605e-17,1.6801425474768566e-28,1.8932516584004583e-28,0.042359758837713396,7.168360723127311e-17,1.5680977250566946e-16,3.6173775884201385e-25,2.061438955013442e-31,-8.396685826453777e-29,7.16836072829719e-17,0.0211808784625877,-1.7618415816119714e-23,5.85548672021948e-26,5.629356425615394e-31,6.728970107146347e-31,1.5680977250566946e-16,-1.7619119079453608e-23,0.021180878462587698,1.7978550292060815e-25,1.2277270064205678e-16,-6.883728267258605e-17,3.617220984965403e-25,5.856271924371354e-26,1.797855029227282e-25,0.04235975892848899,-0.010101802762025321,-0.021976205200511155,-1.1545952330895518e-18,1.331903189526684e-19,-3.993706033681576e-19,-0.0840820459089755,0.01953006020463229,1.4748052424070122e-16,1.823148708137436e-27,-1.3592547729652412e-27,9.992717638090289e-28,-3.2781888186797616e-11,1.4748052424069965e-16,0.019530060204632473,-7.213511455623733e-28,-6.546500417086519e-28,-2.7691898213344406e-28,-7.171040930676041e-11,1.7439299217106224e-27,-6.911692008090479e-28,0.028240505042769773,3.564692617094644e-17,7.797858667413359e-17,1.3880217719921363e-29,-1.2266741792288693e-25,-7.442018652845178e-26,3.564692617094522e-17,0.007061622125662156,-8.751106251526888e-24,-3.845934287595391e-30,1.223438635877922e-25,7.34917630301996e-26,7.797858667413973e-17,-8.75110619233274e-24,0.007061622125662156,-3.765145861993881e-30,-3.278188818679768e-11,-7.171040930676041e-11,2.0129407207224764e-29,-4.607807347042497e-30,-3.7849983361400055e-30,0.015462672557339163
1774036437924092601,3,1774036437882554770,center_camera,base_link_12,-0.7415010478575713,0.6250002159566646,-2.7747969871073913e-19,-6.214980420333577e-16,-1.4418496844554791e-15,0.369453535112504,0.9292492052150886,0.0039819450981158425,-8.234086689597859e-18,-5.106026937466208e-24,1.6318625351819579e-15,1.6319777204564725e-15,1.1059462536305159e-13,-8.234086689597859e-18,0.003981945098115849,-2.1247071383959857e-26,-2.188697663638224e-15,-2.1888128536970685e-15,9.665763334035585e-14,6.121034942321917e-24,-8.591323881390667e-27,0.00477793414854067,-1.248647994896157e-13,5.637566355041167e-14,-4.3979997694893484e-24,1.6318625353946442e-15,-2.1886976635343768e-15,-1.248647994896157e-13,0.00238996696804053,1.678540071365264e-14,-7.394470833035227e-21,1.6319777284274225e-15,-2.1888128536970787e-15,5.6375666938543456e-14,1.6785400713655872e-14,0.002389966968040915,-7.402672403897132e-21,1.1059463891557875e-13,9.665762656409227e-14,-4.3885329489439844e-24,-7.394470610461814e-21,-7.40266743117706e-21,0.004777934148656633,-0.009717855315485274,-0.023799142899618833,1.378537153598958e-19,-1.6387407938727166e-18,1.7216630260756154e-18,-0.09301503404840224,0.02157929422544752,5.301126037833468e-12,-2.2916471416493145e-24,-3.6593811025490443e-22,-3.8908613130376017e-22,9.513884905851089e-08,5.301126029391392e-12,0.02157929423453829,-2.8909975746956753e-24,-7.967004043687545e-22,-8.475810085108676e-22,-4.383820226845627e-08,2.599861639954758e-22,1.4011266940456693e-22,0.0031859560395662324,-7.910905673625791e-16,3.572468404424561e-16,-2.1785339570415496e-25,-3.418390025246716e-21,-5.182380717078691e-21,-7.91090567364864e-16,0.0007979886109117096,6.289406079704814e-19,1.4338093971969202e-24,-1.5328768787630376e-21,1.2505511827984241e-21,3.5724684044319716e-16,6.289406079701859e-19,0.000797988610911713,2.916898086153814e-24,9.513884905851107e-08,-4.3838202268456025e-08,1.3451963298039942e-27,2.2657885695486037e-27,2.1543434653664796e-27,0.01701894867562389
1774036437990653054,4,1774036437958895445,center_camera,base_link_12,-0.7055087395988937,0.6157517466886199,-3.201002373368883e-19,-1.3266713425917294e-15,-4.579191847960321e-15,0.2011005038669757,0.9795706137611767,0.0038190330377061163,1.6766135416365894e-17,4.526442736294554e-25,-1.508712493489989e-16,1.5086415871361691e-16,1.314822784407644e-12,1.676613458918528e-17,0.0038190330377060816,-1.1584873445963534e-26,-3.2259714404470234e-15,-4.006087191721574e-15,5.085190818440526e-13,-1.0388885583714778e-24,-2.0380615107946874e-25,0.004582439893530001,-1.1443967382887207e-12,4.596041799960216e-13,1.99052435744672e-27,-1.508712492963078e-16,-3.2259714450374803e-15,-1.1443967391357537e-12,0.0022922190061431054,-1.9597931609678926e-15,-7.338466536036925e-21,1.5086415878417872e-16,-4.006087191969593e-15,4.596041797842634e-13,-1.9597931609679935e-15,0.002292219006144828,3.0148216293772372e-21,1.314822784407644e-12,5.085190822675691e-13,5.711904998089695e-28,-7.338467683945504e-21,3.014821607669693e-21,0.004582439906289487,-0.0012642316362749039,-0.03608244878586672,-2.427028569058802e-19,-6.627885367115025e-19,-1.3713465441237497e-18,-0.18488488926014787,0.023038459115091815,-1.5686947822888946e-11,-1.3628841151194396e-22,-5.705430010553538e-20,-6.515626968642414e-20,1.0280858990341057e-06,-1.568694783812072e-11,0.02303845908223506,1.3332590891817801e-22,-5.2144195566269386e-20,-7.19832422734252e-20,-4.2470162260178927e-07,-1.1304777702206477e-21,1.0722860550644763e-21,0.0030556260692686313,-6.67851727548647e-15,2.67289480377025e-15,1.9302529707511645e-24,-5.749572930335664e-20,-5.36064391498364e-20,-6.678517275485955e-15,0.0007654029930729858,4.882892333986515e-18,5.030297562785628e-23,-6.609438325670708e-20,-7.297649255928676e-20,2.67289480377016e-15,4.8828923339862596e-18,0.000765402993072996,5.144279638062335e-23,1.0280858990341055e-06,-4.247016226017893e-07,3.419619324732351e-26,5.0506462397087653e-23,5.070030740115184e-23,0.01819976231782
1774036438091285721,5,1774036438037402630,center_camera,base_link_12,-0.6535132329183884,0.6012528495011391,3.7552062461648797e-19,2.14890831292661e-14,-4.082088347896808e-15,-0.08592938019252101,0.996301230361445,0.0039273584921903845,4.404284955794296e-17,-1.2181076791870366e-24,-3.3845401517076712e-15,2.0897319644585542e-16,1.961140481916224e-12,4.4042851212304184e-17,0.003927358492190291,2.3705200591079495e-24,-4.0489862241866113e-16,-5.39895000679909e-16,7.576249655714745e-13,-1.3057197615455878e-24,-3.838722575200446e-24,0.004712430444456527,-1.8611486389042732e-12,3.5459889915880204e-14,-3.797195352908228e-26,-3.3845401564867925e-15,-4.048986175322421e-16,-1.8611486372102073e-12,0.0023572142417346217,1.5133753874614056e-16,1.0106651549477453e-21,2.0897319644585438e-16,-5.398950051115458e-16,3.5459889862940645e-14,1.5133753283884718e-16,0.0023572142417341772,2.487868187093746e-21,1.961140480222158e-12,7.576249655714745e-13,-4.145846504979134e-26,1.0106625735313932e-21,2.487866475517123e-21,0.004712430460094511,0.018846016044393656,-0.05068674092751394,-1.236777031516188e-18,-1.9076493782902106e-19,-5.942229842117132e-19,-0.35619283572739685,0.02448768539330354,-6.456634090748731e-11,-6.560310082650877e-22,-1.0411549474718327e-19,2.0579908999768166e-20,2.801162167065952e-06,-6.456634088434043e-11,0.02448768501539306,2.9756737219055657e-22,-1.8502547754596854e-20,-5.315076328630303e-20,-4.6725463716748657e-07,-2.473081221136233e-22,-6.675917323598884e-21,0.003142286413897049,-1.144444239269566e-14,2.419416433795494e-16,-1.0581930360871325e-24,-1.043195626842245e-19,-1.501927777288869e-20,-1.1444442392694985e-14,0.0007870679291036624,6.850391160236921e-19,3.514600793080411e-22,2.1810015439828684e-20,-5.0282293793842316e-20,2.41941643379592e-16,6.850391160316247e-19,0.0007870679291036942,1.0258194535144724e-22,2.8011621670659513e-06,-4.672546371674859e-07,2.4450589850090094e-25,3.508174289088078e-22,1.050088512026333e-22,0.019334909915752783
1774036438157384542,6,1774036438119381428,center_camera,base_link_12,-0.6212580351100746,0.5920011296807087,-3.698299773655178e-19,1.0830827717752866e-15,-1.9127740990410396e-15,-0.2668998251647555,0.9637242776474104,0.004100939162997441,6.74502526763746e-17,-5.909367209920706e-25,-2.1221927585633598e-16,2.1221838412204753e-16,3.1215672679097556e-12,6.74502857635991e-17,0.0041009391629971284,1.2275575965043307e-24,1.1441758022579942e-15,-1.14418920309558e-15,5.767607071327724e-13,9.568611763469099e-25,2.000930428105705e-24,0.004920727238322978,-2.6226659089096955e-12,-1.0616637396073931e-12,5.731561628860852e-26,-2.122192736614311e-16,1.1441758024944834e-15,-2.6226659106037614e-12,0.00246136266648599,-4.375649154074478e-15,-1.6371987931655056e-20,2.12218384123249e-16,-1.1441891937137494e-15,-1.0616637387603602e-12,-4.375649148336114e-15,0.0024613626664945006,-1.417877093909036e-20,3.121567261133492e-12,5.767607062857395e-13,6.116716527752368e-26,-1.6371984518054402e-20,-1.4178768168656643e-20,0.004920727255402082,0.035425702672424016,-0.05056142493409088,-3.271210667697751e-19,1.5610451903008e-18,-2.3976283072073315e-18,-0.4672746199329615,0.025985982625709565,1.9792289567025948e-10,-3.3705629567684702e-22,-2.477768128230496e-20,1.139018987937135e-20,5.830980332772336e-06,1.9792289566689552e-10,0.025985980949137174,-2.89291403917385e-21,-1.3356076033254495e-20,-4.689702252672981e-21,7.476652441386029e-07,-2.6506979081046552e-22,-3.3077837626604344e-21,0.003281150957919216,-1.758841655411388e-14,-7.119836649826193e-15,4.082922136959804e-26,-2.5352875232103812e-20,-1.004180192974822e-20,-1.7588416554109117e-14,0.0008217841654454946,-2.930726463259099e-17,3.785669574315598e-22,1.1965370366922944e-20,-8.004230566364447e-21,-7.11983664982667e-15,-2.930726463259824e-17,0.0008217841654455559,2.7017472658836398e-24,5.830980332772334e-06,7.476652441386074e-07,-1.3466232672953682e-25,3.807090673616088e-22,5.075972017949483e-25,0.02045546644630256
1774036438257965578,7,1774036438196841478,center_camera,base_link_12,-0.5757610391764548,0.5795017846639531,-3.7353072630658605e-19,1.1779090743869253e-15,-6.224686732874304e-16,-0.4672249475111797,0.8841384780808804,0.0038750018248991675,3.372914974468676e-17,-2.527795620627064e-25,-7.392803869872183e-17,-6.670081261292234e-25,3.2969286853270618e-12,3.372914643596431e-17,0.0038750018248988657,-5.174613634587469e-24,1.0457569106151624e-15,5.9043692496760624e-24,2.2681332418510777e-13,4.908980076534473e-25,6.3547980982179194e-24,0.004649602425473314,-2.3353209895938566e-12,-1.761410337417391e-12,4.2007746390280625e-25,-7.392803867082543e-17,1.0457569111787598e-15,-2.3353209878997907e-12,0.002325800300902866,-6.63446514480711e-15,-8.354549899257166e-21,3.847296571069206e-25,-3.1817579543399458e-24,-1.761410337417391e-12,-6.634465144807918e-15,0.002325800300901261,1.3112118049043614e-25,3.2969286853270618e-12,2.2681332397334953e-13,4.239116566584689e-25,-8.354549350790807e-21,1.3238067869909405e-25,0.004649602440295983,0.05685156831337609,-0.04246954087922126,9.549879184047568e-19,-1.1842774303261643e-18,-3.555270848518136e-19,-0.5917318202131251,0.027489038539891993,1.08638969116067e-09,-1.8594929181934653e-22,-6.650528723733384e-21,-1.073987912849174e-20,8.437410313626887e-06,1.0863896910237132e-09,0.027489035359120076,-1.98970747432419e-22,-8.759006056402897e-21,3.2245905628924895e-20,2.752508593221753e-06,-6.852450051009736e-21,1.0967455938597909e-20,0.003100401105721684,-1.3958042086675628e-14,-1.0547162750367307e-14,-4.641273473363822e-24,-6.302300345598927e-21,-8.550198274216876e-21,-1.3958042086672814e-14,0.0007765968538733191,-4.0293817325735215e-17,-4.551441801407896e-24,-7.398945434709806e-21,2.6674515437836412e-20,-1.0547162750365862e-14,-4.0293817325738445e-17,0.0007765968538733422,2.2357969533608504e-24,8.43741031362689e-06,2.7525085932217495e-06,-9.402549823395672e-26,-3.166452847633484e-24,3.3199850330401725e-27,0.021506662531800325
1774036438324162746,8,1774036438277166605,center_camera,base_link_12,-0.548257142134638,0.5717505197546704,-3.067425252697969e-19,-1.2879031560794087e-16,-1.8087802846647854e-16,-0.5800200173808511,0.8146022216011427,0.004018255592743109,6.8417597389363514e-18,-2.970566106914078e-25,-7.057723748603625e-25,-5.059480807011057e-17,4.111963357024363e-12,6.8417465040465506e-18,0.004018255592742534,-7.491018416650321e-24,-7.136782795187989e-26,-1.1800797419108466e-15,-1.8139115104837686e-13,4.726517821233581e-25,5.0296616956853506e-24,0.004821506953846673,-2.0618798696206094e-12,-3.058168186731696e-12,-1.4142938417370779e-27,4.035582358369158e-25,-5.270582402278577e-26,-2.0618798704676424e-12,0.0024117525132012862,-1.2657203348804024e-14,-2.4408594273472245e-27,-5.059480808301088e-17,-1.1800797414171185e-15,-3.05816818503763e-12,-1.2657203337179874e-14,0.0024117525131986807,-4.2855611943480825e-21,4.111963350248099e-12,-1.8139115104837686e-13,-6.818686610520421e-28,3.700879097843754e-28,-4.2855611924002744e-21,0.0048215069725231555,0.06730549142634792,-0.030172976382521945,4.234828457230527e-19,2.9425270067599196e-19,-9.932613573400534e-19,-0.6703557288545963,0.028940920184758898,3.531954139143212e-09,1.9204206562061096e-22,1.7836440036109272e-20,4.589972511645253e-20,1.1083364569852553e-05,3.5319541389171943e-09,0.02894091627674775,-3.278072930552767e-22,-2.974375054516626e-20,-3.5008962033502484e-20,6.8466664273993425e-06,-7.22227843075553e-23,-7.159743661714937e-22,0.0032150040945616402,-1.3275012614496458e-14,-1.9662565928024243e-14,1.8496155102122863e-24,1.783642313937985e-20,-2.9743783253333764e-20,-1.3275012614496521e-14,0.0008052474018224617,-6.277913134090491e-17,-3.772291373664994e-26,3.95671181055122e-20,-3.0972809637429057e-20,-1.9662565928029926e-14,-6.277913134092501e-17,0.000805247401822411,1.0638596788917693e-23,1.108336456985255e-05,6.846666427399344e-06,-3.9209313825665256e-26,-6.305196240326709e-27,9.760358903321887e-24,0.022489716069556038
1774036438390736377,9,1774036438355757713,center_camera,base_link_12,-0.5222566411848868,0.5640004993043838,8.676740636509607e-20,0.0,0.0,-0.6943554932911836,0.7196321622442656,0.0039315547019675825,-5.099806704405831e-18,-6.103911704875688e-25,5.439089431177757e-17,7.201955405511205e-25,4.032158226828075e-12,-5.099778580265004e-18,0.003931554701967067,1.234304104447616e-23,6.204646090782605e-16,3.9955905611691526e-26,-3.6005699730588554e-13,8.672793760044594e-25,-1.1815807751275645e-23,0.0047174658772895966,-1.3001612776713167e-12,-3.371130899253302e-12,-1.0768608193651664e-26,5.439089428570799e-17,6.204646090547617e-16,-1.3001612785183496e-12,0.0023597320098783232,-1.0008926000275083e-14,-3.3969347816303944e-21,-4.0695802943916494e-25,-2.097125783717738e-26,-3.371130899253302e-12,-1.0008926000275083e-14,0.002359732009868101,2.2878652370775273e-27,4.0321582302162064e-12,-3.6005699688236906e-13,1.284587811984867e-28,-3.396934275528857e-21,1.1121577380703035e-29,0.004717465894694038,0.07397961970053687,-0.016158503300314504,1.1930372305859747e-18,-2.8582243212421995e-19,-5.707719994771633e-19,-0.7576978623206685,0.030420441642735333,6.705778050663131e-09,-7.35282128701371e-23,-1.8565685996284394e-20,-3.4170257430837254e-20,1.2661752842512729e-05,6.7057780506808674e-09,0.030420439681992997,1.3899560651810914e-23,7.637434328347194e-21,2.7037902588964646e-20,1.1483978773644204e-05,-3.992242981484102e-22,-9.25538870611893e-22,0.0031456433963113115,-8.014080775314151e-15,-2.0778978341954474e-14,4.141572812122469e-24,-1.871867288952768e-20,7.195724159202243e-21,-8.014080775313028e-15,0.0007879073561852848,-4.3386087665650716e-17,-3.2345974050701042e-24,-3.4323232777204875e-20,2.6596221414047214e-20,-2.0778978341956462e-14,-4.338608766565049e-17,0.0007879073561851892,1.8554550700787212e-24,1.266175284251273e-05,1.1483978773644204e-05,-1.1390698815883887e-26,-5.066431277999014e-24,5.3455974979203996e-27,0.02343148094929515
